Nombre,Descripción,Epoca,Municipio
Villa Cornelius,Villa Romana,Romano Bajo Imperial,Enova
Corts Valencianes,Via Augusta,Romano Alto Imperial,Valencia
Cova Negra,Hábitat en cueva,Paleolítico,Xátiva
El Salt,Hábitat en cueva,Epipaleolítico,Alcoy
Cova del Llop,Hábitat en cueva,Neolítico,Gandía
El Molón,Poblado fortificado,Edad del Hierro,Camporrobles
Grau Vell,Factoria de salazones,Fenicio,Sagunt
Edeta,Poblado fortificado,Ibérico,Lliria
Necrópolis Cañete,Necropolis,Romano Republicano,Valencia
Castillo de Alcalans,Fortificación,Medieval Islámico,Montserrat
Alfar cerámico,Hornos cerámicos,Medieval Cristiano,Manisses
Convento del Carmen,Convento,Edad Moderna,Valencia
Fosa común,Fosa común de represaliados del franquismo,Edad Contemporánea,Benageber
